Document ID,Event 1,Event 2,Event 1 ID,Event 2 ID,Label
Document001,endured,hit,1,2,a
Document001,fell,crisis,3,4,a
Document001,fallen,indicating,6,7,e
Document001,fallen,launched,6,8,a
Document001,indicating,launched,7,8,a
Document001,revealed,fall,10,11,a
Document001,said,introduced,12,13,v
Document001,triggered,swept,14,15,v
Document001,triggered,said,14,16,b
Document001,swept,said,15,16,b
Document001,believed,suffered,18,19,v
Document001,believed,drop on,18,20,v
Document001,suffered,drop on,19,20,v
Document001,became,reveal,21,22,v
Document001,became,reporting,21,23,v
Document001,became,decline,21,24,a
Document001,reveal,reporting,22,23,e
Document001,reveal,decline,22,24,a
Document001,reporting,decline,23,24,a
Document001,endured,fell,1,3,v
Document001,endured,crisis,1,4,v
Document001,endured,halved,1,5,v
Document001,endured,fallen,1,6,v
Document001,endured,indicating,1,7,v
Document001,endured,launched,1,8,a
Document001,endured,prompted,1,9,b
Document001,endured,revealed,1,10,b
Document001,endured,fall,1,11,v
Document001,endured,said,1,12,b
Document001,endured,introduced,1,13,b
Document001,endured,triggered,1,14,v
Document001,endured,swept,1,15,a
Document001,endured,said,1,16,b
Document001,endured,collapsed,1,17,v
Document001,endured,believed,1,18,v
Document001,endured,suffered,1,19,v
Document001,endured,drop on,1,20,v
Document001,endured,became,1,21,b
Document001,endured,reveal,1,22,b
Document001,endured,reporting,1,23,b
Document001,endured,decline,1,24,v
Document001,endured,sold,1,25,v
Document001,hit,fell,2,3,v
Document001,hit,crisis,2,4,v
Document001,hit,halved,2,5,v
Document001,hit,fallen,2,6,v
Document001,hit,indicating,2,7,v
Document001,hit,launched,2,8,a
Document001,hit,prompted,2,9,b
Document001,hit,revealed,2,10,b
Document001,hit,fall,2,11,v
Document001,hit,said,2,12,b
Document001,hit,introduced,2,13,b
Document001,hit,triggered,2,14,v
Document001,hit,swept,2,15,a
Document001,hit,said,2,16,b
Document001,hit,collapsed,2,17,v
Document001,hit,believed,2,18,v
Document001,hit,suffered,2,19,v
Document001,hit,drop on,2,20,v
Document001,hit,became,2,21,b
Document001,hit,reveal,2,22,b
Document001,hit,reporting,2,23,b
Document001,hit,decline,2,24,v
Document001,hit,sold,2,25,v
Document001,fell,halved,3,5,v
Document001,fell,fallen,3,6,v
Document001,fell,indicating,3,7,v
Document001,fell,launched,3,8,a
Document001,fell,prompted,3,9,b
Document001,fell,revealed,3,10,b
Document001,fell,fall,3,11,v
Document001,fell,said,3,12,b
Document001,fell,introduced,3,13,b
Document001,fell,triggered,3,14,v
Document001,fell,swept,3,15,a
Document001,fell,said,3,16,b
Document001,fell,collapsed,3,17,v
Document001,fell,believed,3,18,v
Document001,fell,suffered,3,19,v
Document001,fell,drop on,3,20,v
Document001,fell,became,3,21,b
Document001,fell,reveal,3,22,b
Document001,fell,reporting,3,23,b
Document001,fell,decline,3,24,v
Document001,fell,sold,3,25,v
Document001,crisis,halved,4,5,v
Document001,crisis,fallen,4,6,v
Document001,crisis,indicating,4,7,v
Document001,crisis,launched,4,8,a
Document001,crisis,prompted,4,9,b
Document001,crisis,revealed,4,10,b
Document001,crisis,fall,4,11,v
Document001,crisis,said,4,12,b
Document001,crisis,introduced,4,13,b
Document001,crisis,triggered,4,14,v
Document001,crisis,swept,4,15,a
Document001,crisis,said,4,16,b
Document001,crisis,collapsed,4,17,v
Document001,crisis,believed,4,18,v
Document001,crisis,suffered,4,19,v
Document001,crisis,drop on,4,20,v
Document001,crisis,became,4,21,b
Document001,crisis,reveal,4,22,b
Document001,crisis,reporting,4,23,b
Document001,crisis,decline,4,24,v
Document001,crisis,sold,4,25,v
Document001,halved,fallen,5,6,v
Document001,halved,indicating,5,7,v
Document001,halved,launched,5,8,a
Document001,halved,prompted,5,9,b
Document001,halved,revealed,5,10,b
Document001,halved,fall,5,11,v
Document001,halved,said,5,12,b
Document001,halved,introduced,5,13,b
Document001,halved,triggered,5,14,v
Document001,halved,swept,5,15,a
Document001,halved,said,5,16,b
Document001,halved,collapsed,5,17,v
Document001,halved,believed,5,18,v
Document001,halved,suffered,5,19,v
Document001,halved,drop on,5,20,v
Document001,halved,became,5,21,b
Document001,halved,reveal,5,22,b
Document001,halved,reporting,5,23,b
Document001,halved,decline,5,24,v
Document001,halved,sold,5,25,v
Document001,fallen,prompted,6,9,b
Document001,fallen,revealed,6,10,b
Document001,fallen,fall,6,11,v
Document001,fallen,said,6,12,b
Document001,fallen,introduced,6,13,b
Document001,fallen,triggered,6,14,v
Document001,fallen,swept,6,15,a
Document001,fallen,said,6,16,b
Document001,fallen,collapsed,6,17,v
Document001,fallen,believed,6,18,v
Document001,fallen,suffered,6,19,v
Document001,fallen,drop on,6,20,v
Document001,fallen,became,6,21,b
Document001,fallen,reveal,6,22,b
Document001,fallen,reporting,6,23,b
Document001,fallen,decline,6,24,v
Document001,fallen,sold,6,25,v
Document001,indicating,prompted,7,9,b
Document001,indicating,revealed,7,10,b
Document001,indicating,fall,7,11,v
Document001,indicating,said,7,12,b
Document001,indicating,introduced,7,13,b
Document001,indicating,triggered,7,14,v
Document001,indicating,swept,7,15,a
Document001,indicating,said,7,16,b
Document001,indicating,collapsed,7,17,v
Document001,indicating,believed,7,18,v
Document001,indicating,suffered,7,19,v
Document001,indicating,drop on,7,20,v
Document001,indicating,became,7,21,b
Document001,indicating,reveal,7,22,b
Document001,indicating,reporting,7,23,b
Document001,indicating,decline,7,24,v
Document001,indicating,sold,7,25,v
Document001,launched,prompted,8,9,b
Document001,launched,revealed,8,10,b
Document001,launched,fall,8,11,b
Document001,launched,said,8,12,b
Document001,launched,introduced,8,13,b
Document001,launched,triggered,8,14,v
Document001,launched,swept,8,15,b
Document001,launched,said,8,16,b
Document001,launched,collapsed,8,17,b
Document001,launched,believed,8,18,b
Document001,launched,suffered,8,19,b
Document001,launched,drop on,8,20,b
Document001,launched,became,8,21,b
Document001,launched,reveal,8,22,b
Document001,launched,reporting,8,23,b
Document001,launched,decline,8,24,b
Document001,launched,sold,8,25,b
Document001,prompted,revealed,9,10,v
Document001,prompted,fall,9,11,a
Document001,prompted,said,9,12,v
Document001,prompted,introduced,9,13,v
Document001,prompted,triggered,9,14,v
Document001,prompted,swept,9,15,a
Document001,prompted,said,9,16,v
Document001,prompted,collapsed,9,17,a
Document001,prompted,believed,9,18,a
Document001,prompted,suffered,9,19,a
Document001,prompted,drop on,9,20,a
Document001,prompted,became,9,21,v
Document001,prompted,reveal,9,22,v
Document001,prompted,reporting,9,23,v
Document001,prompted,decline,9,24,a
Document001,prompted,sold,9,25,a
Document001,revealed,said,10,12,v
Document001,revealed,introduced,10,13,v
Document001,revealed,triggered,10,14,v
Document001,revealed,swept,10,15,a
Document001,revealed,said,10,16,v
Document001,revealed,collapsed,10,17,a
Document001,revealed,believed,10,18,a
Document001,revealed,suffered,10,19,a
Document001,revealed,drop on,10,20,a
Document001,revealed,became,10,21,v
Document001,revealed,reveal,10,22,v
Document001,revealed,reporting,10,23,v
Document001,revealed,decline,10,24,a
Document001,revealed,sold,10,25,a
Document001,fall,said,11,12,b
Document001,fall,introduced,11,13,b
Document001,fall,triggered,11,14,v
Document001,fall,swept,11,15,a
Document001,fall,said,11,16,b
Document001,fall,collapsed,11,17,v
Document001,fall,believed,11,18,v
Document001,fall,suffered,11,19,v
Document001,fall,drop on,11,20,v
Document001,fall,became,11,21,b
Document001,fall,reveal,11,22,b
Document001,fall,reporting,11,23,b
Document001,fall,decline,11,24,v
Document001,fall,sold,11,25,v
Document001,said,triggered,12,14,v
Document001,said,swept,12,15,a
Document001,said,said,12,16,v
Document001,said,collapsed,12,17,a
Document001,said,believed,12,18,a
Document001,said,suffered,12,19,a
Document001,said,drop on,12,20,a
Document001,said,became,12,21,v
Document001,said,reveal,12,22,v
Document001,said,reporting,12,23,v
Document001,said,decline,12,24,a
Document001,said,sold,12,25,a
Document001,introduced,triggered,13,14,v
Document001,introduced,swept,13,15,a
Document001,introduced,said,13,16,v
Document001,introduced,collapsed,13,17,a
Document001,introduced,believed,13,18,a
Document001,introduced,suffered,13,19,a
Document001,introduced,drop on,13,20,a
Document001,introduced,became,13,21,v
Document001,introduced,reveal,13,22,v
Document001,introduced,reporting,13,23,v
Document001,introduced,decline,13,24,a
Document001,introduced,sold,13,25,a
Document001,triggered,collapsed,14,17,v
Document001,triggered,believed,14,18,v
Document001,triggered,suffered,14,19,v
Document001,triggered,drop on,14,20,v
Document001,triggered,became,14,21,v
Document001,triggered,reveal,14,22,v
Document001,triggered,reporting,14,23,v
Document001,triggered,decline,14,24,v
Document001,triggered,sold,14,25,v
Document001,swept,collapsed,15,17,b
Document001,swept,believed,15,18,b
Document001,swept,suffered,15,19,b
Document001,swept,drop on,15,20,b
Document001,swept,became,15,21,b
Document001,swept,reveal,15,22,b
Document001,swept,reporting,15,23,b
Document001,swept,decline,15,24,b
Document001,swept,sold,15,25,b
Document001,said,collapsed,16,17,a
Document001,said,believed,16,18,a
Document001,said,suffered,16,19,a
Document001,said,drop on,16,20,a
Document001,said,became,16,21,v
Document001,said,reveal,16,22,v
Document001,said,reporting,16,23,v
Document001,said,decline,16,24,a
Document001,said,sold,16,25,a
Document001,collapsed,believed,17,18,v
Document001,collapsed,suffered,17,19,v
Document001,collapsed,drop on,17,20,v
Document001,collapsed,became,17,21,b
Document001,collapsed,reveal,17,22,b
Document001,collapsed,reporting,17,23,b
Document001,collapsed,decline,17,24,v
Document001,collapsed,sold,17,25,v
Document001,believed,became,18,21,b
Document001,believed,reveal,18,22,b
Document001,believed,reporting,18,23,b
Document001,believed,decline,18,24,v
Document001,believed,sold,18,25,v
Document001,suffered,became,19,21,b
Document001,suffered,reveal,19,22,b
Document001,suffered,reporting,19,23,b
Document001,suffered,decline,19,24,v
Document001,suffered,sold,19,25,v
Document001,drop on,became,20,21,b
Document001,drop on,reveal,20,22,b
Document001,drop on,reporting,20,23,b
Document001,drop on,decline,20,24,v
Document001,drop on,sold,20,25,v
Document001,became,sold,21,25,a
Document001,reveal,sold,22,25,a
Document001,reporting,sold,23,25,a
Document001,decline,sold,24,25,v
Document002,shrink,War,26,27,a
Document002,shrink,warned,26,28,a
Document002,War,warned,27,28,b
Document002,fall,said,29,30,a
Document002,fall,downgraded,29,31,a
Document002,said,downgraded,30,31,a
Document002,filed,claims,34,35,e
Document002,filed,closed,34,36,a
Document002,filed,told,34,37,v
Document002,filed,showed,34,38,b
Document002,claims,closed,35,36,v
Document002,claims,told,35,37,v
Document002,claims,showed,35,38,b
Document002,closed,told,36,37,v
Document002,closed,showed,36,38,b
Document002,told,showed,37,38,b
Document002,said,suggested,39,40,a
Document002,said,peaked,39,41,b
Document002,suggested,peaked,40,41,b
Document002,disruptions,increasing,42,43,b
Document002,disruptions,said,42,44,v
Document002,increasing,said,43,44,v
Document002,shrink,fall,26,29,v
Document002,shrink,said,26,30,a
Document002,shrink,downgraded,26,31,a
Document002,shrink,said,26,32,a
Document002,shrink,loss,26,33,v
Document002,shrink,filed,26,34,a
Document002,shrink,claims,26,35,a
Document002,shrink,closed,26,36,a
Document002,shrink,told,26,37,a
Document002,shrink,showed,26,38,a
Document002,shrink,said,26,39,a
Document002,shrink,suggested,26,40,a
Document002,shrink,peaked,26,41,b
Document002,shrink,disruptions,26,42,v
Document002,shrink,increasing,26,43,v
Document002,shrink,said,26,44,a
Document002,War,fall,27,29,b
Document002,War,said,27,30,b
Document002,War,downgraded,27,31,b
Document002,War,said,27,32,b
Document002,War,loss,27,33,b
Document002,War,filed,27,34,b
Document002,War,claims,27,35,b
Document002,War,closed,27,36,b
Document002,War,told,27,37,b
Document002,War,showed,27,38,b
Document002,War,said,27,39,b
Document002,War,suggested,27,40,b
Document002,War,peaked,27,41,b
Document002,War,disruptions,27,42,b
Document002,War,increasing,27,43,b
Document002,War,said,27,44,b
Document002,warned,fall,28,29,b
Document002,warned,said,28,30,v
Document002,warned,downgraded,28,31,v
Document002,warned,said,28,32,v
Document002,warned,loss,28,33,b
Document002,warned,filed,28,34,a
Document002,warned,claims,28,35,a
Document002,warned,closed,28,36,a
Document002,warned,told,28,37,a
Document002,warned,showed,28,38,a
Document002,warned,said,28,39,v
Document002,warned,suggested,28,40,v
Document002,warned,peaked,28,41,b
Document002,warned,disruptions,28,42,v
Document002,warned,increasing,28,43,v
Document002,warned,said,28,44,v
Document002,fall,said,29,32,a
Document002,fall,loss,29,33,v
Document002,fall,filed,29,34,a
Document002,fall,claims,29,35,a
Document002,fall,closed,29,36,a
Document002,fall,told,29,37,a
Document002,fall,showed,29,38,a
Document002,fall,said,29,39,a
Document002,fall,suggested,29,40,a
Document002,fall,peaked,29,41,b
Document002,fall,disruptions,29,42,v
Document002,fall,increasing,29,43,v
Document002,fall,said,29,44,a
Document002,said,said,30,32,v
Document002,said,loss,30,33,b
Document002,said,filed,30,34,a
Document002,said,claims,30,35,a
Document002,said,closed,30,36,a
Document002,said,told,30,37,a
Document002,said,showed,30,38,a
Document002,said,said,30,39,v
Document002,said,suggested,30,40,v
Document002,said,peaked,30,41,b
Document002,said,disruptions,30,42,v
Document002,said,increasing,30,43,v
Document002,said,said,30,44,v
Document002,downgraded,said,31,32,v
Document002,downgraded,loss,31,33,b
Document002,downgraded,filed,31,34,a
Document002,downgraded,claims,31,35,a
Document002,downgraded,closed,31,36,a
Document002,downgraded,told,31,37,a
Document002,downgraded,showed,31,38,a
Document002,downgraded,said,31,39,v
Document002,downgraded,suggested,31,40,v
Document002,downgraded,peaked,31,41,b
Document002,downgraded,disruptions,31,42,v
Document002,downgraded,increasing,31,43,v
Document002,downgraded,said,31,44,v
Document002,said,loss,32,33,b
Document002,said,filed,32,34,a
Document002,said,claims,32,35,a
Document002,said,closed,32,36,a
Document002,said,told,32,37,a
Document002,said,showed,32,38,a
Document002,said,said,32,39,v
Document002,said,suggested,32,40,v
Document002,said,peaked,32,41,b
Document002,said,disruptions,32,42,v
Document002,said,increasing,32,43,v
Document002,said,said,32,44,v
Document002,loss,filed,33,34,a
Document002,loss,claims,33,35,a
Document002,loss,closed,33,36,a
Document002,loss,told,33,37,a
Document002,loss,showed,33,38,a
Document002,loss,said,33,39,a
Document002,loss,suggested,33,40,a
Document002,loss,peaked,33,41,b
Document002,loss,disruptions,33,42,v
Document002,loss,increasing,33,43,v
Document002,loss,said,33,44,a
Document002,filed,said,34,39,b
Document002,filed,suggested,34,40,b
Document002,filed,peaked,34,41,b
Document002,filed,disruptions,34,42,b
Document002,filed,increasing,34,43,b
Document002,filed,said,34,44,b
Document002,claims,said,35,39,b
Document002,claims,suggested,35,40,b
Document002,claims,peaked,35,41,b
Document002,claims,disruptions,35,42,b
Document002,claims,increasing,35,43,b
Document002,claims,said,35,44,b
Document002,closed,said,36,39,b
Document002,closed,suggested,36,40,b
Document002,closed,peaked,36,41,b
Document002,closed,disruptions,36,42,b
Document002,closed,increasing,36,43,b
Document002,closed,said,36,44,b
Document002,told,said,37,39,b
Document002,told,suggested,37,40,b
Document002,told,peaked,37,41,b
Document002,told,disruptions,37,42,b
Document002,told,increasing,37,43,b
Document002,told,said,37,44,b
Document002,showed,said,38,39,b
Document002,showed,suggested,38,40,b
Document002,showed,peaked,38,41,b
Document002,showed,disruptions,38,42,v
Document002,showed,increasing,38,43,v
Document002,showed,said,38,44,b
Document002,said,disruptions,39,42,v
Document002,said,increasing,39,43,v
Document002,said,said,39,44,v
Document002,suggested,disruptions,40,42,v
Document002,suggested,increasing,40,43,v
Document002,suggested,said,40,44,v
Document002,peaked,disruptions,41,42,v
Document002,peaked,increasing,41,43,v
Document002,peaked,said,41,44,a